language level female,favorite language female,work female,language level male,favorite language male,work male
7,7-python,student,7,7-python,student
7,7-python,student,7,7-python,student
7,7-python,student,7,7-python,student
7,7-python,student,7,7-python,student
7,7-python,student,7,7-python,student
7,7-python,student,7,7-python,student
7,7-python,student,7,7-python,student
7,7-python,student,7,7-python,student
7,7-python,student,7,7-python,student
6,6-java,student,6,6-java,student
6,6-java,student,6,6-java,student
6,6-java,student,4,4-C++,student
4,4-C++,student,4,4-C++,student
9,9-matlab,student,4,4-C++,student
7,7-python,student,3,3-C,student
7,7-python,student,3,3-C,student
7,7-python,student,8,8-R,student
6,6-java,student,2,2-C#,student
7,7-python,student,5,5-JS,working
6,6-java,student,5,5-JS,working
6,6-java,working,2,2-C#,working
7,7-python,student,6,6-java,working
6,6-java,student,3,3-C,student
6,6-java,student,7,7-python,student
3,3-C,student,7,7-python,working
7,7-python,student,3,3-C,working
6,6-java,student,5,5-JS,working
6,6-java,working,5,5-JS,working
7,7-python,student,6,6-java,working
7,7-python,student,1,1-assembly,student
7,7-python,student,6,6-java,working
6,6-java,working,7,7-python,working
7,7-python,student,5,5-JS,working
6,6-java,working,7,7-python,working
5,5-JS,working,5,5-JS,working
